time,entropy,precession,phase_diff
0.0,6172.6212348872605,2.978731757838245,0.0006412557112019473
0.01,6176.884834935506,5.958208637740807,0.003105667783006136
0.02,5689.115541409268,8.84990588887041,0.01021449517355139
0.03,4915.365279011938,11.589890144252385,0.022825266258150102
0.04,4110.795102496879,14.15087064235362,0.04018720192411157
0.05,3416.341550156963,16.532857177760736,0.060920201267759475
0.06,2863.873125227292,18.749215707312807,0.08367403127841437
0.07,2436.4913328549533,20.81756804235992,0.10735613381894066
0.08,2106.8018759135507,22.755685552815375,0.13111268878481527
0.09,1851.0833219141834,24.580249850942344,0.15414528687271728
0.1,1650.059304737876,26.30575355895097,0.1754410266049861
0.11,1478.1786665527225,27.9384198785488,0.19504979606787257
0.12,1327.285223152101,29.483303715954214,0.21363130475830303
0.13,1201.8545365573389,30.950100971072242,0.23136083119392511
0.14,1096.6751628173922,32.34729072091562,0.2482739297340392
0.15,1006.8689396012151,33.68174196688711,0.2643859748824638
0.16,929.0931551011719,34.9591823001597,0.27971570662879996
0.17,860.9886787980523,36.18450087347643,0.2942882202558549
0.18,800.8179648063646,37.361935365923706,0.30813370655835676
0.19,747.2594128514414,38.49519804616403,0.32128560605243184
0.2,699.2830846069825,39.587567220751836,0.33377902071664145
0.21,656.0707093602322,40.64195689924381,0.3456495119313269
0.22,616.9617204978817,41.66097160830862,0.35693224945439905
0.23,581.4155639680258,42.64695049027599,0.36766143512873245
0.24,548.9846551101654,43.602003360753,0.37786993137051755
0.25,519.29454490503,44.52804056169578,0.38758903804122513
0.26,492.0291008932134,45.42679792810502,0.396848375373328
0.27,466.91925317940877,46.299857845246095,0.4056758415475009
0.28,443.73432363062415,47.14866713868228,0.414097620503291
0.29,422.27525759371434,47.97455237142366,0.4221382242999154
0.3,402.3692778052476,48.778732999428776,0.4298205570639714
0.31,383.86561603476997,49.562332744489545,0.437165992776401
0.32,366.6320712100648,50.326389472932505,0.4441944600766707
0.33,350.5522090485172,51.07186381429483,0.45092453002274746
0.34,335.52306451365877,51.79964671131506,0.4573735040569881
0.35000000000000003,321.4532424149302,52.510566058836524,0.4635574998426838
0.36,308.26133619275396,53.20539256233407,0.46949153418419426
0.37,295.8746029331185,53.884844924946734,0.4751896017978353
0.38,284.2278465340591,54.54959445439628,0.48066474950350674
0.39,273.2624710781726,55.20026916674613,0.4859291461686079
