t_s,t_days,phi_L_rad,phi_L_deg,varpi_io_rad,varpi_eu_rad,varpi_ga_rad,kappa_io,kappa_eu,kappa_ga,x_io,y_io,x_eu,y_eu,x_ga,y_ga
1668600.0,19.3125,-3.1299563622905247,-179.33328961936712,4.583284122828359e-07,1.4349779492901705e-07,4.4663938630828207e-08,6.6874509481374486e-09,4.198514943114365e-09,2.6333304652998223e-09,-360119535.75400156,219205146.27878582,-618766003.3890138,261038787.10935903,-336389908.11367846,-1016416234.773631
1668900.0,19.31597222222222,-3.1299230163148195,-179.33137903569548,4.584109017086189e-07,1.4352355561258657e-07,4.46719652006475e-08,6.687352800738131e-09,4.198578485663213e-09,2.63333049112664e-09,-362802131.58660203,214748427.01666886,-620346420.3022143,257234789.63741958,-333290345.1048032,-1017436960.5082446
1669200.0,19.319444444444443,-3.1298905629850466,-179.32951959686832,4.5849338806360067e-07,1.4354931725354298e-07,4.4679991769048875e-08,6.6872541098675224e-09,4.198642133831099e-09,2.6333305224613564e-09,-365429525.7555681,210259031.6261235,-621903472.8037428,253421105.66201177,-330187682.20523655,-1018448234.0504384
1669500.0,19.322916666666668,-3.1298590058904594,-179.32771150853478,4.5857587133201465e-07,1.4357507985402942e-07,4.468801833605984e-08,6.687154888420645e-09,4.19870588360399e-09,2.633330559355564e-09,-368001320.9939696,205737644.6837545,-623437101.1750108,249597878.3314402,-327081948.22662085,-1019450045.9696093
1669800.0,19.32638888888889,-3.12982834856785,-179.3259549733381,4.5865835149851934e-07,1.436008434161489e-07,4.469604490170819e-08,6.687055149423631e-09,4.198769730978938e-09,2.6333306018611115e-09,-370517128.5416207,201184955.5796465,-624947246.5737773,245765251.1643155,-323973172.00954175,-1020442386.922797
1670100.0,19.32986111111111,-3.1297985945006985,-179.32425019086696,4.587408285482018e-07,1.4362660794196416e-07,4.4704071466022004e-08,6.686954906037725e-09,4.198833671970339e-09,2.6333306500301005e-09,-372976568.2029309,196601658.41113767,-626433851.0365866,241923368.04429778,-320861382.42326343,-1021425247.6547757
1670400.0,19.333333333333332,-3.1297697471182673,-179.32259735760366,4.5882330246658163e-07,1.436523734334975e-07,4.471209802902967e-08,6.68685417156331e-09,4.198897702616279e-09,2.6333307039148865e-09,-375379268.40342045,191988451.87590405,-627896857.4811732,238072373.21482888,-317746608.36546344,-1022398618.9981443
1670700.0,19.336805555555557,-3.1297418097946377,-179.32099666686878,4.5890577323961455e-07,1.4367813989273085e-07,4.472012459075986e-08,6.686752959443937e-09,4.198961818984976e-09,2.6333307635680685e-09,-377724866.24488986,187346039.1643722,-629336209.7088331,234212411.27385354,-314628878.76196694,-1023362491.8734152
1671000.0,19.34027777777778,-3.1297147858476873,-179.31944830876276,4.5898824085369643e-07,1.4370390732160563e-07,4.472815115124155e-08,6.686651283270279e-09,4.19902601718125e-09,2.633330829042487e-09,-380013007.5592388,182675127.8514765,-630751852.4067605,230343627.1685291,-311508222.5664809,-1024316857.2891046
1671300.0,19.34375,-3.1296886785380202,-179.3179524701044,4.5907070529566724e-07,1.4372967572202286e-07,4.473617771050402e-08,6.686549156784035e-09,4.1990902933530114e-09,2.6333309003912175e-09,-382243346.9609254,177976429.78777948,-632143731.1503497,226466166.18992475,-308384668.76032776,-1025261706.3418192
1671600.0,19.34722222222222,-3.129663491067852,-179.31650933436714,4.591531665528148e-07,1.4375544509584316e-07,4.474420426857684e-08,6.686446593881694e-09,4.199154643697689e-09,2.6333309776675677e-09,-384415547.8980595,173250660.98997223,-633511792.4054623,222580173.96770963,-305258246.35217917,-1026197030.2163446
1671900.0,19.350694444444443,-3.1296392265798083,-179.3151190816102,4.5923562461287904e-07,1.4378121544488674e-07,4.4752230825489885e-08,6.6863436086181704e-09,4.1992190644685854e-09,2.6333310609250702e-09,-386529282.7021225,168498541.53077197,-634855983.5306574,218685796.46483,-302128984.37778896,-1027122820.1857307
1672200.0,19.354166666666668,-3.129615888155705,-179.31378188840856,4.593180794640558e-07,1.4380698677093364e-07,4.476025738127333e-08,6.6862402152102425e-09,4.199283551981102e-09,2.6333311502174778e-09,-388584232.63630784,163720795.4282352,-636176252.7793876,214783179.97217557,-298996911.8997259,-1028039067.6113781
1672500.0,19.35763888888889,-3.12959347881527,-179.31249792778,4.5940053109500106e-07,1.4383275907572373e-07,4.476828393595765e-08,6.686136428039765e-09,4.199348102618783e-09,2.6333312455987556e-09,-390580087.94247556,158918150.53450388,-637472549.3021559,210872471.1032349,-295862058.00710654,-1028945763.9431227
1672800.0,19.36111111111111,-3.1295720015148145,-179.31126736910855,4.5948297949483494e-07,1.4385853236095696e-07,4.477631048957363e-08,6.686032261656629e-09,4.199412712839152e-09,2.6333313471230783e-09,-392516547.88671416,154091338.42400217,-638744823.1486373,206953816.78873992,-292724451.815327,-1029842900.71932
1673100.0,19.364583333333332,-3.1295514591458584,-179.31009037806618,4.595654246531458e-07,1.438843066282935e-07,4.478433704215237e-08,6.6859277307814275e-09,4.19947737917927e-09,2.63333145484482e-09,-394393320.803505,149241094.281102,-639993025.2697617,203027364.27129924,-289584122.4657954,-1030730469.566928
1673400.0,19.368055555555557,-3.129531854533713,-179.30896711653125,4.5964786655999434e-07,1.4391008187935398e-07,4.4792363593725245e-08,6.68582285030779e-09,4.199542098261003e-09,2.633331568818552e-09,-396210124.13848203,144368156.78727546,-641217107.5197597,199093261.10002035,-286441099.125663,-1031608462.2015895
1673700.0,19.37152777777778,-3.129513190436038,-179.30789774250604,4.5973030520591783e-07,1.4393585811571967e-07,4.480039014432396e-08,6.685717635304351e-09,4.199606866795927e-09,2.63333168909903e-09,-397966684.4897828,139473268.0077517,-642417022.6581684,195151655.1251206,-283295410.9875558,-1032476870.4277146
1674000.0,19.375,-3.1294954695413537,-179.30688241003145,4.598127405819342e-07,1.4396163533893282e-07,4.480841669398053e-08,6.685612101016334e-09,4.1996716815898456e-09,2.633331815741192e-09,-399662737.64798456,134557173.27769676,-643592724.351801,191202694.49252668,-280147087.2693055,-1033335686.1385607
1674300.0,19.37847222222222,-3.1294786944675117,-179.30592126909926,4.5989517267954604e-07,1.439874135504969e-07,4.481644324272727e-08,6.685506262866704e-09,4.199736539546888e-09,2.6333319488001475e-09,-401298028.63462085,129620621.08793464,-644744167.1766742,187246527.63846254,-276996157.21368027,-1034184901.316313
1674600.0,19.381944444444443,-3.1294628677601715,-179.30501446556508,4.5997760149074474e-07,1.4401319275187688e-07,4.482446979059681e-08,6.685400136456877e-09,4.199801437673143e-09,2.6333320883311714e-09,-402872311.73927313,124664362.9702274,-645871306.6198987,183283303.28402558,-273842650.0881149,-1035024508.0321635
1674900.0,19.385416666666668,-3.129447991891224,-179.30416214105782,4.600600270080147e-07,1.440389729444996e-07,4.483249633762207e-08,6.685293737566951e-09,4.19986637307979e-09,2.633332234389695e-09,-404385350.55523384,119689153.38213308,-646974099.0815285,179313170.4297508,-270686595.1844413,-1035854498.4463894
1675200.0,19.38888888888889,-3.129434069257215,-179.30336443288937,4.6014244922433713e-07,1.44064754129754e-07,4.484052288383632e-08,6.685187082155456e-09,4.199931342985726e-09,2.6333323870312957e-09,-405836918.0137356,114695749.59145936,-648052501.876372,175336278.35016292,-267528021.81861824,-1036674864.808431
1675500.0,19.39236111111111,-3.129421102177762,-179.3026214739641,4.602248681331943e-07,1.4409053630899164e-07,4.4848549429273107e-08,6.68508018635857e-09,4.1999963447196504e-09,2.6333325463116898e-09,-407226796.4167428,109684911.56033182,-649106473.2357605,171352776.58831596,-264366959.33046064,-1037485599.4569681
1675800.0,19.395833333333332,-3.1294090928939333,-179.30193339268575,4.603072837285731e-07,1.4411631948352684e-07,4.485657597396631e-08,6.684973066488837e-09,4.200061375721572e-09,2.6333327122867246e-09,-408554777.46830124,104657401.82889473,-650135972.3092791,167362814.95032042,-261203437.08336917,-1038286694.8199961
1676100.0,19.399305555555557,-3.1293980435666775,-179.30130031286754,4.6038969600496924e-07,1.4414210365463717e-07,4.486460251795011e-08,6.684865739033334e-09,4.2001264335437704e-09,2.633332885012363e-09,-409820662.3044429,99613985.39866322,-651140959.1664556,163366543.49985778,-258037484.46405903,-1039078143.4149015
1676400.0,19.40277777777778,-3.1293879562752185,-179.30072235364023,4.6047210495739086e-07,1.4416788882356377e-07,4.487262906125901e-08,6.6847582206513074e-09,4.200191515851157e-09,2.6333330645446817e-09,-411024261.52164114,94555429.61554514,-652121394.7984105,159364112.55268174,-254869130.8822888,-1039859937.8485355
1676700.0,19.40625,-3.1293788330154673,-179.3001996293611,4.605545105813623e-07,1.441936749915117e-07,4.4880655603927824e-08,6.684650528171256e-09,4.200256620421066e-09,2.6333332509398503e-09,-412165395.2038141,89482504.05255112,-653077241.1194648,155355672.67110652,-251698405.77058873,-1040632070.8172882
1677000.0,19.40972222222222,-3.129370675698464,-179.29973224952465,4.606369128729276e-07,1.4421946215965034e-07,4.4888682145991684e-08,6.684542678587501e-09,4.2003217451424575e-09,2.633333444254128e-09,-413243892.9478726,84395980.39221156,-654008460.968709,151341374.65848184,-248525338.58398896,-1041394535.107161
1677300.0,19.413194444444443,-3.1293634861488275,-179.29932031867386,4.607193118286541e-07,1.4424525032911363e-07,4.489670868748604e-08,6.684434689056188e-09,4.200386888014552e-09,2.63333364454385e-09,-414259593.88780946,79296632.30871873,-654915018.111532,147321369.55365425,-245349958.79974735,-1042147323.5938382
1677600.0,19.416666666666668,-3.1293572661032343,-179.298963936313,4.608017074456357e-07,1.4427103950100052e-07,4.490473522844665e-08,6.684326576890816e-09,4.200452047144913e-09,2.6333338518654127e-09,-415212346.71732867,74185235.34981287,-655796877.2411082,143295808.62541512,-242172295.91707715,-1042890429.2427589
1677900.0,19.42013888888889,-3.1293520172089444,-179.29866319682307,4.608840997214962e-07,1.4429682967637526e-07,4.491276176890959e-08,6.684218359557201e-09,4.200517220746977e-09,2.633334066275264e-09,-416102009.71101034,69062566.81843068,-656654003.9798466,139264843.36693433,-238992379.45687422,-1043623845.1091858
1678200.0,19.42361111111111,-3.129347741022329,-179.2984181893776,4.6096648865439245e-07,1.443226208562677e-07,4.492078830891126e-08,6.684110054668005e-09,4.200582407137075e-09,2.6333342878298895e-09,-416928450.74401087,63929405.654134765,-657486364.8807989,135228625.4901806,-235810238.9614442,-1044347564.338276
1678500.0,19.427083333333332,-3.129344439007479,-179.2982289978628,4.610488742430172e-07,1.4434841304167363e-07,4.492881484848838e-08,6.68400167997677e-09,4.200647604730959e-09,2.6333345165857975e-09,-417691547.3102951,58786532.31434259,-658293927.4290284,131187306.92032765,-232625903.99422917,-1045061580.1651489
1678800.0,19.430555555555557,-3.129342112534843,-179.29809570079962,4.61131256486602e-07,1.4437420623355496e-07,4.493684138767798e-08,6.683893253371508e-09,4.200712812039868e-09,2.633334752599504e-09,-418391186.5393992,53634728.65537339,-659076660.0429399,127141039.79014614,-229439404.1395344,-1045765885.9149535
1679100.0,19.43402777777778,-3.129340762879906,-179.29801837126791,4.612136353849198e-07,1.4440000043284013e-07,4.4944867926517404e-08,6.683784792867892e-09,4.200778027666174e-09,2.6333349959275222e-09,-419027265.2117231,48474777.81333176,-659834532.0755695,123089976.43438208,-226250769.00225443,-1046460475.0029362
1679400.0,19.4375,-3.1293403912219446,-179.29799707683532,4.612960109382875e-07,1.4442579564042422e-07,4.495289446504433e-08,6.6836763166020524e-09,4.200843250298634e-09,2.633335246626342e-09,-419599689.77235,43307464.0848461,-660567513.8158377,119034269.38412069,-223060028.20759907,-1047145340.9345064
1679700.0,19.44097222222222,-3.129340998642819,-179.2980318794878,4.613783831475683e-07,1.444515918571692e-07,4.496092100329674e-08,6.683567842823024e-09,4.2009084787072945e-09,2.633335504752417e-09,-420108376.34339327,38133572.807680644,-661275576.4897615,114974071.36113659,-219867211.40081936,-1047820477.3053011
1680000.0,19.444444444444443,-3.1293425861258513,-179.2981228355656,4.6146075201417365e-07,1.4447738908390416e-07,4.496894754131294e-08,6.683459389884868e-09,4.200973711738098e-09,2.6333357703621445e-09,-420553250.73486847,32953890.24123933,-661958692.2616302,110909535.2722299,-216672348.24693286,-1048485877.8012503
1680300.0,19.447916666666668,-3.129345154554727,-179.29826999570017,4.6154311754006537e-07,1.4450318732142542e-07,4.497697407913156e-08,6.683350976238525e-09,4.201038948307216e-09,2.6333360435118516e-09,-420934248.45409155,27769203.446980007,-662616834.2351433,106840814.2035487,-213475468.43044898,-1049141536.1986402
1680600.0,19.45138888888889,-3.1293487047125392,-179.29847340475942,4.6162547972775747e-07,1.4452898657049669e-07,4.498500061679155e-08,6.683242620423409e-09,4.201104187395177e-09,2.633336324257774e-09,-421251314.7136006,22580300.16875728,-663249976.4545103,102768061.41489765,-210276601.65509406,-1049787446.3641754
1680900.0,19.45486111111111,-3.129353237280805,-179.29873310179138,4.6170783858031753e-07,1.4455478683184917e-07,4.499302715433216e-08,6.6831343410587905e-09,4.201169428040809e-09,2.6333366126560384e-09,-421504404.4376031,17387968.713112347,-663858093.9055141,98691430.33403315,-207075777.64353597,-1050423602.2550415
1681200.0,19.458333333333332,-3.1293587528386357,-179.29904911997676,4.617901941013681e-07,1.4458058810618162e-07,4.500105369179298e-08,6.68302615683502e-09,4.201234669335065e-09,2.6333369087626437e-09,-421693482.2669476,12192997.829528127,-664441162.5165372,94611074.5509452,-203873026.1371088,-1051049997.9189652
1681500.0,19.461805555555557,-3.1293652518619393,-179.29942148658301,4.618725462950881e-07,1.446063903941604e-07,4.50090802292139e-08,6.682918086504605e-09,4.2012999104147634e-09,2.6333372126334363e-09,-421818522.56261975,6996176.590667828,-664999159.159552,90527147.8121262,-200668376.895537,-1051666627.4942755
1681800.0,19.46527777777778,-3.129372734722704,-179.2998502229235,4.6195489516621333e-07,1.4463219369641954e-07,4.5017106766635154e-08,6.682810148873194e-09,4.201365150456282e-09,2.633337524324094e-09,-421879509.4077642,1798294.2726152567,-665532061.6510752,86439804.0148269,-197461859.69665942,-1052273485.2099621
1682100.0,19.46875,-3.129381201688364,-179.30033534432113,4.620372407200377e-07,1.4465799801356062e-07,4.502513330409727e-08,6.682702362790488e-09,4.201430388669265e-09,2.6333378438901016e-09,-421876436.60823286,-3399859.7648650697,-666039848.7530863,82349197.20129968,-194253504.33615318,-1052870565.3857344
1682400.0,19.47222222222222,-3.129390652921229,-179.30087686007548,4.6211958296241353e-07,1.446838033461529e-07,4.5033159841641104e-08,6.6825947471411315e-09,4.201495624290358e-09,2.6333381713867255e-09,-421809307.69165957,-8597496.198029889,-666522500.1739107,78255481.55302987,-191043340.6272572,-1053457862.4320792
1682700.0,19.475694444444443,-3.129401088477998,-179.3014747734352,4.622019218997519e-07,1.4470960969473313e-07,4.5041186379307825e-08,6.6824873208356065e-09,4.201560856577039e-09,2.6333385068689925e-09,-421678135.9050636,-13793825.858803203,-666979996.5690683,74158811.38495493,-187831398.40049547,-1054035370.8503166
1683000.0,19.479166666666668,-3.1294125083093505,-179.30212908157444,4.622842575390227e-07,1.4473541705980543e-07,4.504921291713892e-08,6.682380102801164e-09,4.20162608480155e-09,2.6333388503916638e-09,-421482944.21098274,-18988059.85434835,-667412319.5420873,70059341.13967212,-184617707.50340018,-1054603085.2326573
1683300.0,19.48263888888889,-3.1294249122596014,-179.30283977557312,4.6236658988775495e-07,1.4476122544184132e-07,4.50572394551762e-08,6.682273111972816e-09,4.20169130824499e-09,2.63333920200921e-09,-421223765.2821374,-24179409.68654821,-667819451.6452829,65957225.38163514,-181402297.80023465,-1055161000.2622563
